activity_name,activity_id,activity_type,distance,time,elevation_gain,kudos,start_date,average_speed,max_speed,average_cadence,average_hr,max_hr,suffer_score
Panshanger PR (18:12 - 2nd),1807281354,Run,5000.0,1092,0.0,1,2018-08-25T08:00:00Z,4.579,0.0,,,,
Evening Run - Panshanger ,1817344422,Run,4903.3,1127,58.0,5,2018-09-03T19:14:06Z,4.3389999999999995,7.0,,169.9,178.0,55.0
Hatfield 5k Series - race 1 (17:55 - 32nd),1821995859,Run,5000.0,1075,0.0,10,2018-09-05T18:45:13Z,4.651,0.0,,,,
Panshanger PR (18:21 - 2nd),1826965116,Run,5000.0,1101,0.0,6,2018-09-08T08:00:56Z,4.541,0.0,,,,
Evening Run - Welwyn,1830984968,Run,8093.0,1998,97.0,6,2018-09-09T18:49:18Z,4.038,6.1,,167.9,190.0,85.0
Evening Run - Welwyn,1832956022,Run,4859.7,1137,73.4,6,2018-09-10T19:30:45Z,4.301,6.0,,,,
Panshanger PR (18:12 - 3rd),1842987085,Run,5000.0,1092,0.0,6,2018-09-15T08:00:00Z,4.579,0.0,,,,
Morning Run - Welwyn,1847294196,Run,10000.0,2550,0.0,5,2018-09-17T08:24:27Z,3.9219999999999997,0.0,,,,
Hatfield 5k Series - race 2 (18:16 - 35th),1853006370,Run,5000.0,1096,0.0,9,2018-09-19T18:45:00Z,4.562,0.0,,,,
Afternoon Run - Panshanger,1854532368,Run,10120.9,2803,126.2,7,2018-09-20T15:38:34Z,3.967,5.6,,,,
Panshanger PR (18:19 - 2nd),1857902033,Run,5000.0,1099,0.0,7,2018-09-22T08:00:00Z,4.55,0.0,,,,
Morning Run - Welwyn ,1862331364,Run,10000.0,2622,0.0,6,2018-09-24T08:20:47Z,3.8139999999999996,0.0,,,,
Afternoon Run - Panshanger ,1867104614,Run,4933.7,1123,52.7,6,2018-09-26T15:46:25Z,4.393,6.2,,,,
Panshanger PR (18:05 - 1st),1872555370,Run,5000.0,1085,0.0,12,2018-09-29T08:00:00Z,4.6080000000000005,0.0,,,,
Evening Run - Welwyn,1876028417,Run,16048.5,4191,205.2,10,2018-09-30T15:43:01Z,3.833,7.6,,,,
Afternoon Run - Panshanger ,1877798851,Run,10007.1,2520,126.5,10,2018-10-01T16:04:00Z,3.971,5.8,,,,
Hatfield 5k Series - race 3 (17:54 - 28th),1882361101,Run,5000.0,1074,0.0,10,2018-10-03T18:45:00Z,4.655,0.0,,,,
Ellenbrook PR (17:58 - 3rd),1887241249,Run,5000.0,1078,0.0,9,2018-10-06T08:00:00Z,4.638,0.0,,,,
Morning Run - Welwyn ,1891574278,Run,9951.6,2514,130.9,8,2018-10-08T08:26:18Z,3.968,8.2,,,,
Evening Run - Welwyn ,1896871823,Run,7706.0,1933,87.2,7,2018-10-10T19:11:33Z,3.987,5.6,,,,
Ellenbrook PR (18:12 - 1st),1901741659,Run,5000.0,1092,0.0,8,2018-10-13T08:00:00Z,4.579,0.0,,,,
Herts 10k (38:37 - 12th),1904482788,Run,10000.0,2317,0.0,9,2018-10-14T09:00:00Z,4.316,0.0,,,,
Afternoon Run - Panshanger,1910670406,Run,5017.2,1139,53.3,9,2018-10-17T16:15:01Z,4.436,6.0,,,,
Morning Run - Welwyn ,1915631994,Run,9951.3,2413,121.3,12,2018-10-20T08:10:50Z,4.1339999999999995,6.2,,,,
Morning Run - Panshanger ,1920356845,Run,10009.4,2481,70.6,7,2018-10-22T09:15:22Z,4.034,5.5,,,,
Ellenbrook PR (17:55 - 3rd),1929767235,Run,5000.0,1075,0.0,10,2018-10-27T08:00:10Z,4.651,0.0,,,,
"Herts XC League - Cheshunt, race 1 (30:02 - 48th)",1932824805,Run,8046.7,1802,0.0,10,2018-10-28T11:00:00Z,4.465,0.0,,,,
Ellenbrook PR (17:52 - 4th),1942935742,Run,5000.0,1072,0.0,13,2018-11-03T09:00:00Z,4.664,0.0,,,,
"Royal Parks 10k Winter Series - Greenwich Park, race 1 (40:52 - 6th)",1945373292,Run,10000.0,2452,0.0,13,2018-11-04T09:30:27Z,4.078,0.0,,,,
Afternoon Run - Panshanger ,1947565210,Run,15685.2,4013,103.3,10,2018-11-05T14:23:50Z,3.909,5.5,,,,
Ellenbrook PR (17:48 - 5th),1956322981,Run,5000.0,1068,0.0,12,2018-11-10T09:00:00Z,4.6819999999999995,0.0,,,,
Long Run with Pete,1958284547,Run,20039.4,5688,231.8,6,2018-11-11T09:46:32Z,3.5789999999999997,10.5,,,,
Morning Run - Hatfield ,1969249469,Run,4916.4,1118,12.4,9,2018-11-17T10:09:03Z,4.397,6.0,,155.4,160.0,32.0
Herts Half Marathon - (1:25:13 - 23rd),1971573913,Run,21100.0,5113,0.0,11,2018-11-18T09:30:00Z,4.127,0.0,,,,
Afternoon Run - Hatfield ,1980625275,Run,9867.9,2506,24.7,9,2018-11-23T15:19:04Z,3.938,5.4,,166.3,190.0,99.0
Hatfield 5 - (29:25 - 27th),1984320686,Run,8000.0,1765,0.0,14,2018-11-25T10:00:00Z,4.533,0.0,,,,
Morning Run - Panshanger,1985636421,Run,9734.3,2555,75.3,9,2018-11-26T09:33:38Z,3.858,6.6,,172.7,208.0,126.0
Ellenbrook PR (18:10 - 4th),1994128219,Run,5000.0,1090,0.0,9,2018-12-01T09:00:00Z,4.587,0.0,,,,
"Herts XC League - Trent Park, race 2 (31:05 - 44th)",1996389369,Run,8000.0,1865,0.0,12,2018-12-02T10:30:00Z,4.29,0.0,,,,
Morning Run - Panshanger ,2001078643,Run,4847.7,1222,29.3,13,2018-12-05T07:58:03Z,4.05,5.5,,172.8,202.0,49.0
Ellenbrook PR (18:13 - 3rd),2006263877,Run,5000.0,1093,0.0,10,2018-12-08T09:00:00Z,4.575,0.0,,,,
"Royal Parks 10k Winter Series - Regent’s Park, race 2 (38:29 - 16th)",2008814980,Run,10000.0,2309,0.0,13,2018-12-09T09:00:56Z,4.331,0.0,,,,
Ellenbrook PR (17:50 - 3rd),2018009843,Run,5000.0,1070,0.0,14,2018-12-15T09:00:00Z,4.673,0.0,,,,
"Herts XC League - Stevenage, race 3 (30:13 - 50th)",2020910026,Run,8000.0,1813,0.0,6,2018-12-16T10:30:00Z,4.413,0.0,,,,
3k time trial - GCR Intervals ,2027065200,Run,3000.0,617,0.0,6,2018-12-20T19:00:00Z,4.862,0.0,,,,
Evening Run - Welwyn ,2028511938,Run,9249.0,2524,106.8,9,2018-12-21T19:42:22Z,3.6639999999999997,5.8,,175.2,205.0,125.0
Panshanger PR (18:13 - 8th),2034563513,Run,5000.0,1093,0.0,11,2018-12-25T09:00:00Z,4.575,0.0,,,,
Intervals - Hilly 650’s,2035993054,Run,6801.0,1844,137.1,9,2018-12-26T09:52:29Z,3.696,6.8,88.4,166.8,184.0,71.0
Evening Run - Welwyn ,2038868398,Run,9133.7,2454,105.4,12,2018-12-27T18:42:29Z,3.722,5.3,85.6,158.8,174.0,79.0
Ellenbrook PR (17:45 - 4th),2041484077,Run,4931.0,1066,10.5,14,2018-12-29T09:02:26Z,4.626,5.7,88.6,174.7,189.0,60.0
Yasso 800’s ,2045210201,Run,6396.9,1892,56.0,13,2018-12-30T20:14:55Z,3.403,6.1,81.5,157.9,183.0,57.0
