activity_id,split_average_cadence,split_average_hr,split_average_speed,split_distance,split_elevation_gain,split_index,split_max_hr,split_max_speed,split_time
3134814172,79,131,3.38,1000,20,1,151,4,296
3134814172,79.5,141.1,3.47,1000,58,2,149,4.5,288
3134814172,79.6,138.9,3.45,1000,58,3,152,3.9,290
3134814172,79.6,147.3,3.36,1000,54,4,163,4.1,298
3134814172,78.5,132.6,3.41,1000,52,5,148,4.9,293
3134814172,80,140.4,3.42,1000,40,6,153,4.1,292
3134814172,79,138.2,3.42,1000,20,7,155,4.4,292
3134814172,79.4,130.6,3.34,1000,14,8,147,4.1,299
3134814172,80,134.5,3.52,1000,22,9,145,4.3,284
3134814172,80.1,137.8,3.47,478.2,21,10,143,4.8,138
3131802476,79.8,130.1,3.28,1000,25,1,143,4.8,305
3131802476,80.4,142.2,3.42,1000,22,2,154,4.7,292
3131802476,82.9,142.1,3.8,1000,48,3,168,6.2,760
3131802476,86.7,166.1,4.91,368.05,3,4,171,6.1,75
3131802476,86.9,165,0.68,30.5,2,5,168,4.4,45
3131802476,87.5,160.9,4.93,803.84,8,6,169,6.4,163
3131802476,75.6,161.6,0.94,43.2,0,7,167,4.8,46
3131802476,88.5,164.7,5.12,803.86,12,8,180,6.7,157
3131802476,84.9,163.8,0.9,45.71,0,9,172,4.9,51
3131802476,87.9,164.9,5.06,793.92,13,10,174,6.5,157
3131802476,74.8,163.6,0.79,41.94,0,11,171,4.2,53
3131802476,87.9,172.4,5.09,804.99,17,12,179,6.6,158
3131802476,72.7,166.4,0.68,48.59,2,13,177,4.1,71
3131802476,91.5,165.6,5.46,458.57,6,14,180,7.1,84
3131802476,73.4,173,0.99,43.55,0,15,176,5.1,44
3131802476,90.8,169.3,5.25,451.28,8,16,182,6.8,86
3131802476,83.8,174.9,1.08,46.45,0,17,181,5,43
3131802476,90.2,171,5.37,461.72,8,18,185,6.9,86
3131802476,81.7,177.2,1.01,50.44,2,19,185,4.8,50
3131802476,92.1,174.8,5.51,451.78,5,20,186,7.1,82
3131802476,74.1,177.6,0.88,44.93,0,21,180,4.5,51
3131802476,95.3,180.8,5.97,453.6,8,22,185,7.4,76
3131802476,80.2,141,2.11,1000,26,23,185,4.8,807
3131802476,82,140.4,3.5,998.02,42,24,150,5,285
3124325868,82.3,125.6,3.45,1000,29,1,139,4.4,290
3124325868,82.8,139.8,3.45,1000,49,2,146,5,290
3124325868,81.4,147.5,3.46,1000,49,3,170,4.5,289
3124325868,81.8,145.2,3.48,1000,51,4,154,4,287
3124325868,82.7,151.8,3.52,1000,27,5,159,4.8,284
3124325868,81.3,133.2,3.62,1000,0,6,146,4.2,276
3124325868,81.6,136.4,3.51,1000,38,7,150,4.2,285
3124325868,81.8,145.6,3.58,1000,37,8,151,4.4,279
3124325868,81.7,143.7,3.47,1000,31,9,151,4.5,288
3124325868,81.6,132.8,3.67,947.5,11,10,148,5.2,258
3121033650,86.6,147.6,4.37,1000,21,1,172,6,229
3121033650,86.1,164.5,4.59,1000,38,2,187,6.1,218
3121033650,85.6,184.2,4.74,1000,31,3,194,6.9,211
3121033650,85.9,186.8,4.61,1000,13,4,190,6.1,217
3121033650,84.6,185.9,4.39,1000,32,5,195,7.1,352
3121033650,60,137.3,1.01,8.11,0,6,143,1.3,8
3121032425,81.3,134.9,3.09,1000,67,1,143,4.2,324
3121032425,80.9,143.1,3.5,1000,22,2,153,4.9,286
3121032425,80.5,150.9,3.62,604.24,27,3,158,5.3,167
3117367456,80.6,135.6,3.32,1000,12,1,146,4.7,505
3117367456,80.8,139.8,2.16,529.12,8,2,152,5.3,356
3117367456,88.4,148.6,4.85,1000,24,3,154,6.6,206
3117367456,91,135.7,5.19,15.57,3,4,136,6,3
3117367456,80,140.3,3.48,212.53,0,5,142,5.1,61
3117367456,87,144.9,4.85,1000,16,6,149,6.3,206
3117367456,88.6,145.4,5.38,43.06,0,7,146,6.2,8
3117367456,79.7,147.1,3.37,219.07,5,8,151,5.7,65
3117367456,86.7,148.3,4.83,1000,24,9,152,6.4,207
3117367456,88.9,150.6,5.62,39.37,0,10,151,5.1,7
3117367456,78.8,150.2,3.12,221.65,5,11,152,4.8,71
3117367456,87.1,172,4.88,1000,8,12,180,6.4,205
3117367456,88.3,177,5.89,23.56,0,13,177,5.2,4
3117367456,78.8,177.4,3.21,224.67,5,14,181,4.9,70
3117367456,88.8,172.2,5.08,1000,14,15,181,6.6,197
3117367456,89,173.9,5.2,36.4,0,16,174,5.2,7
3117367456,78.4,172.3,2.97,213.79,2,17,176,5.1,72
3117367456,88.6,176,5.13,1000,13,18,185,6.7,195
3117367456,88.7,175.9,5.38,53.83,0,19,178,6.3,10
3117367456,79.3,139.9,2.98,1000,29,20,181,5.8,493
3117367456,82.2,142.7,3.23,1000,7,21,148,4.8,310
3117367456,82.2,140.3,3.08,354.45,0,22,144,3.9,115
3111848361,81.8,129.9,3.5,1000,21,1,143,4.7,305
3111848361,82.7,144.1,3.39,1000,81,2,160,4,295
3111848361,81.4,147.7,3.36,1000,37,3,161,3.8,298
3111848361,80.4,138.1,3.38,1000,41,4,147,4,296
3111848361,79.7,134.2,3.14,1000,38,5,145,4.1,396
3111848361,79.9,127.2,3.23,1000,21,6,140,4,479
3111848361,80.4,138.8,3.17,1000,39,7,161,3.8,315
3111848361,80.1,133.3,3.28,1000,22,8,144,3.8,305
3111848361,80.9,129.1,3.37,769.48,16,9,159,4.6,228
3107306152,80.3,127.7,3.46,1000,2,1,139,4.6,289
3107306152,81,142,2.43,4.86,0,2,142,4.6,2
3107306152,82.1,145.6,3.48,1000,39,3,150,6.6,287
3107306152,82.2,149.9,3.37,1000,58,4,160,4.6,297
3107306152,83.2,149.6,3.44,1000,33,5,158,4.8,291
3107306152,82.8,153.2,3.42,1000,45,6,160,5.8,292
3107306152,81.6,133.9,3.53,1000,4,7,142,4.8,283
3107306152,82.2,137.7,3.47,1000,54,8,148,5.1,288
3107306152,82.2,146.6,3.41,1000,23,9,152,4.8,293
3107306152,82.2,146,3.4,1000,38,10,158,4.9,294
3107306152,81.6,138.3,3.57,1000,16,11,148,5.5,280
3107306152,82.1,141.6,3.51,1000,22,12,152,4.9,285
3107306152,82.9,144.2,3.97,79.37,0,13,147,6.2,20
3101510285,87.1,135.6,4.59,1000,9,1,147,5.5,218
3101510285,85.2,172.7,4.44,1000,20,2,185,5.1,225
3101510285,84.8,185.2,4.35,1000,16,3,189,4.9,230
3101510285,85.2,188.5,4.44,1000,17,4,192,5.1,225
3101510285,85.6,186.9,4.71,946.07,7,5,191,5.2,201
3096151418,80.9,130.2,3.44,1000,22,1,149,4.4,291
3096151418,82,148.8,3.6,1000,26,2,160,5.2,278
3096151418,81.9,152.7,3.56,1000,41,3,169,4.9,281
3096151418,81,140.8,3.52,1000,21,4,148,4.5,284
3096151418,81.6,140.2,3.55,1000,5,5,148,4.6,282
3096151418,82.3,145.7,3.46,1000,21,6,150,4.5,289
3096151418,82.7,147.3,3.42,1000,20,7,151,4.5,292
3096151418,81.9,142.3,3.52,1000,19,8,155,5.1,284
3096151418,81.9,136,3.67,660.22,32,9,151,5.8,180
3091569134,79.4,128.6,3.21,1000,20,1,139,4.6,312
3091569134,80.3,135.6,3.47,1000,33,2,139,4.7,288
3091569134,78.8,136.8,3.48,1000,42,3,146,4.5,362
3091569134,78.7,135.5,3.32,1000,20,4,142,4.4,301
3091569134,83.7,126.8,4.08,1000,14,5,141,6.1,1298
3091569134,86.2,124.9,3.92,1000,14,6,128,6.4,255
3091569134,87,128.3,4.95,1000,7,7,134,6.5,261
3091569134,87.8,134.9,4.9,1000,14,8,144,6.4,276
3091569134,87.6,144,4.85,1000,7,9,154,6.1,270
3091569134,88.2,147.9,4.9,1000,9,10,159,6.7,274
3091569134,88,152.8,5,1000,17,11,161,6.7,262
3091569134,82.4,140.1,3.64,1000,15,12,157,6,755
3091569134,81,140.4,3.66,1000,12,13,145,5,273
3091569134,81.6,133.1,3.59,524.72,15,14,143,4.7,146
3088899767,78.8,127.4,3.29,1000,30,1,138,4.1,304
3088899767,78.9,139.2,3.32,1000,36,2,145,5.3,301
3088899767,79.1,134.9,3.29,1000,47,3,149,4.6,304
3088899767,79.6,142.8,3.27,1000,39,4,161,4.3,328
3088899767,79.4,129.3,3.32,1000,12,5,144,4.4,301
3088899767,80.4,137.8,3.38,1000,50,6,149,4.6,296
3088899767,79.9,133.7,3.38,1000,24,7,147,4.7,296
3088899767,80,128.7,3.31,1000,13,8,145,4.6,302
3088899767,80.8,131.4,3.42,1000,20,9,140,4.7,292
3088899767,81.1,133.3,3.41,507.85,12,10,140,4.6,167
