activity_id,temp,wind_speed,weather
1817344422,19.53,1.88,cloudy
1830984968,18.85,4.42,partly-cloudy-night
1832956022,18.41,5.35,partly-cloudy-night
1854532368,20.03,11.29,wind
1867104614,19.75,3.48,clear-day
1876028417,13.71,5.35,cloudy
1877798851,13.22,4.4,clear-day
1891574278,9.74,4.4,cloudy
1896871823,15.6,4.48,clear-night
1910670406,13.49,1.61,cloudy
1915631994,8.43,1.58,cloudy
1920356845,8.37,4.97,clear-day
1947565210,14.53,3.05,cloudy
1958284547,11.09,8.59,partly-cloudy-day
1969249469,7.63,3.97,clear-day
1980625275,7.06,2.67,clear-day
1985636421,3.67,3.94,clear-day
2001078643,7.95,5.32,rain
2028511938,8.3,5.77,rain
2035993054,5.27,2.4,cloudy
2038868398,3.22,1.43,cloudy
2041484077,5.58,5.96,cloudy
2045210201,6.83,3.16,cloudy
2051319403,0.19,2.17,partly-cloudy-night
2053392135,-0.74,1.96,partly-cloudy-night
2056545343,-2.1,3.68,cloudy
2059084656,2.19,3.49,cloudy
2065105318,3.19,4.62,clear-night
2067316718,2.22,4.67,cloudy
2069646811,4.22,3.5,cloudy
2072553836,7.13,6.55,cloudy
2075332277,9.12,8.98,cloudy
2081062871,6.65,5.89,cloudy
2083529066,4.1,4.26,partly-cloudy-night
2085495854,-0.13,4.01,partly-cloudy-night
2091075105,-0.23,2.12,clear-day
2096712118,1.25,2.46,rain
2098842528,-2.31,2.37,clear-night
2100772666,-0.93,1.45,partly-cloudy-night
2100968638,-0.83,1.19,partly-cloudy-night
2103793596,5.02,5.57,partly-cloudy-day
2104756352,7.97,7.31,cloudy
2109702664,-1.22,2.78,clear-night
2113016252,1.99,2.64,rain
2139774036,1.79,1.51,partly-cloudy-night
2141978725,6.64,3.67,partly-cloudy-night
2148824554,10.99,3.32,clear-day
2154903754,8.44,4.89,partly-cloudy-day
2160342266,10.82,5.67,partly-cloudy-day
2165593023,9.01,2.77,partly-cloudy-night
2174004750,5.38,1.75,partly-cloudy-day
2182456758,8.59,3.37,partly-cloudy-night
2192270620,7.49,6.05,clear-day
2201720122,11.66,10.69,partly-cloudy-day
2206497708,9.37,6.62,partly-cloudy-day
2210819544,9.36,10.99,wind
2215144029,13.03,10.67,cloudy
2219169712,5.73,7.32,clear-day
2227172514,13.1,4.17,cloudy
2236525096,9.63,2.06,partly-cloudy-day
2266943099,11.49,5.62,cloudy
2271688574,7.8,2.89,partly-cloudy-day
2286702950,8.8,4.24,cloudy
2302263146,13.15,2.08,cloudy
2310209487,23.07,5.47,clear-day
2310518637,22.07,5.5,clear-day
2314874759,16.81,3.66,partly-cloudy-day
2315056910,17.87,5.66,partly-cloudy-day
2320437383,15.6,7.58,partly-cloudy-day
2320650335,14.97,7.72,partly-cloudy-day
2327688909,12.31,2.31,clear-day
2327823125,13.0,2.2,clear-day
2332657968,12.29,2.21,partly-cloudy-day
2333158873,14.94,2.63,partly-cloudy-day
2339321059,8.0,5.27,rain
2346118247,9.65,4.6,partly-cloudy-day
2352290179,11.87,6.01,rain
2355889365,11.75,2.82,partly-cloudy-day
2404936403,12.48,1.38,clear-night
2410135380,18.4,5.19,partly-cloudy-day
2412534300,18.86,4.72,partly-cloudy-day
2417394320,25.39,6.27,cloudy
2423668488,16.33,3.4,rain
2426588529,15.08,2.31,cloudy
2429188828,15.71,3.41,clear-day
2435850487,16.03,2.84,cloudy
2439928705,11.34,7.47,rain
2447734267,12.32,7.18,rain
2455658821,18.31,7.29,cloudy
2458386146,17.95,4.34,partly-cloudy-day
2466656675,17.07,4.61,partly-cloudy-day
2474148341,23.34,5.36,cloudy
2477476969,22.73,1.83,cloudy
2480188898,18.48,3.94,cloudy
2484914850,20.77,6.03,clear-day
2488990956,20.63,2.64,clear-day
2498913766,17.42,3.16,partly-cloudy-day
2504627191,22.94,2.11,partly-cloudy-day
2515520825,18.75,3.29,cloudy
2524106340,22.64,4.08,rain
2534975295,18.33,2.05,partly-cloudy-day
2537990071,22.76,1.57,partly-cloudy-day
2543755287,20.01,3.58,partly-cloudy-day
2547056909,18.88,5.46,cloudy
2550046544,17.9,3.75,cloudy
2557201561,29.1,4.69,clear-day
2562951585,29.88,2.9,partly-cloudy-day
2566399890,15.67,4.3,rain
2569700805,14.97,6.6,cloudy
2573821042,21.37,3.82,clear-day
2581650808,22.94,3.05,partly-cloudy-day
2592589295,19.77,0.95,cloudy
2593129496,23.06,1.11,partly-cloudy-day
2601382527,19.08,1.24,partly-cloudy-day
2601390014,19.22,1.17,partly-cloudy-day
2609535030,19.97,7.73,partly-cloudy-day
2616543404,18.04,3.11,clear-day
2622347438,17.18,2.98,partly-cloudy-night
2625909390,16.6,6.06,partly-cloudy-day
2629056983,15.47,5.25,partly-cloudy-day
2636438506,17.81,2.86,clear-day
2642313608,21.28,3.62,partly-cloudy-day
2649208231,21.91,2.2,partly-cloudy-day
2659907238,20.1,4.13,cloudy
2662915864,19.26,4.08,partly-cloudy-night
2673933382,19.34,5.97,cloudy
2677420646,19.64,4.53,partly-cloudy-day
2683113610,14.06,2.97,clear-night
2686450439,12.77,4.41,partly-cloudy-day
2691579673,16.14,1.58,clear-day
2700110809,19.69,5.13,partly-cloudy-night
2702009241,21.8,5.97,partly-cloudy-day
2711459846,23.68,3.6,partly-cloudy-day
2714579959,16.28,2.26,cloudy
2717789138,12.99,3.42,partly-cloudy-night
2726742455,14.49,4.99,clear-day
2731231452,17.86,4.81,rain
2739650274,15.72,3.84,partly-cloudy-night
2743199768,14.84,4.92,partly-cloudy-night
2744556999,13.84,6.36,partly-cloudy-night
2748520987,16.14,7.38,rain
2755296607,12.53,6.87,rain
2760518834,11.18,5.09,partly-cloudy-night
2767975792,15.1,8.26,rain
2778444688,10.72,5.4,cloudy
2786550713,13.13,7.29,partly-cloudy-day
2791795058,11.37,3.39,clear-night
2796737579,11.01,4.32,clear-night
2802869484,9.36,3.89,partly-cloudy-day
2834713015,15.7,10.22,wind
2834714318,11.22,8.81,rain
2844947889,9.05,6.14,cloudy
2848681653,4.42,2.08,partly-cloudy-night
2851511242,1.18,1.38,partly-cloudy-day
2854794955,7.21,2.92,clear-day
2871266969,4.86,1.03,cloudy
2879655685,3.04,5.13,cloudy
2887542635,7.17,1.72,cloudy
2901383662,6.63,4.68,rain
2903714412,5.89,5.23,partly-cloudy-day
2907026370,0.87,2.53,clear-night
2916423121,1.97,2.52,clear-night
2916469944,5.08,4.01,partly-cloudy-day
2920069069,9.14,8.89,clear-day
2924872773,8.69,8.94,rain
2928920339,7.09,6.09,rain
2931498218,3.86,7.02,clear-day
2946215645,7.61,5.14,rain
2949150873,6.58,5.91,cloudy
2954988988,2.88,3.26,clear-day
2956884370,4.68,6.62,cloudy
2961763437,5.67,3.13,cloudy
2972222569,-0.04,1.06,clear-day
2983999775,5.42,4.22,cloudy
2988437720,7.29,4.37,partly-cloudy-night
2991334300,11.85,7.95,cloudy
2996991528,6.97,3.91,rain
3004106991,9.16,8.25,partly-cloudy-day
3011745332,12.49,13.0,rain
3015296035,5.96,5.71,clear-night
3017615097,10.49,8.84,rain
3020908369,1.41,3.55,clear-day
3028890085,1.47,1.79,clear-night
3031654196,1.24,1.92,partly-cloudy-night
3037443047,5.29,1.14,cloudy
3040924780,2.5,2.31,partly-cloudy-day
3044905086,8.65,6.45,cloudy
