activity_id,heartrate_zone_1_time,heartrate_zone_2_time,heartrate_zone_3_time,heartrate_zone_4_time,heartrate_zone_5_time,pace_zone_1_time,pace_zone_2_time,pace_zone_3_time,pace_zone_4_time,pace_zone_5_time,pace_zone_6_time
3134814172,0,50,332,730,0,0,0,0,0,0,0
3131802476,135,2546,95,0,0,814,1403,455,64,40,0
3124325868,97,1362,730,609,18,753,695,299,36,106,927
3121033650,118,2528,183,1,0,458,1749,545,56,22,0
3121032425,19,240,109,239,505,0,0,94,342,448,228
3117367456,0,721,57,0,0,279,466,33,0,0,0
3111848361,44,1997,136,651,1,869,638,109,48,233,932
3107306152,273,2228,153,0,0,954,1426,240,34,0,0
3101510285,45,2783,374,0,0,623,2024,517,32,6,0
3096151418,21,223,52,212,595,0,0,142,436,373,152
3091569134,64,2209,193,0,0,238,1736,388,67,15,22
3088899767,312,2894,158,0,0,397,1493,134,23,296,1020
3085366693,408,2358,90,0,0,1015,1459,304,66,12,0
3077602109,33,3128,956,12,0,449,2805,793,82,0,0
3073525786,0,417,628,223,0,0,127,88,71,70,912
3069206231,10,1149,367,0,0,146,711,624,11,15,19
3064951923,115,2596,126,0,0,355,2056,372,28,26,0
3061139289,20,1253,1778,0,0,54,1452,1322,207,16,0
3054456437,45,784,22,149,50,0,0,0,241,497,312
3051948113,8,163,836,1002,0,405,217,112,145,803,327
3044905086,105,2503,307,4,0,887,1391,516,121,4,0
3040924780,52,1530,1134,4,0,26,1160,1216,271,44,3
3037443047,21,10,234,367,442,0,0,4,362,558,150
3031654196,92,1183,140,0,0,104,787,406,59,53,6
3028890085,29,193,749,1040,0,299,294,139,105,728,446
3020908369,35,2452,46,0,0,65,1412,666,246,101,43
3017615097,15,24,486,152,381,0,0,0,156,628,274
3015296035,17,970,384,253,0,260,258,180,324,231,371
3011745332,27,1179,1112,6,0,249,1233,593,183,59,7
3004106991,27,1090,317,0,0,158,825,342,69,28,12
2996991528,15,14,224,1099,995,0,227,788,848,291,193
2991334300,19,229,1122,676,0,439,199,166,513,555,174
2988437720,69,1011,303,0,0,73,763,445,62,35,5
2983999775,53,2038,223,0,0,328,1582,331,46,27,0
2972222569,0,917,3096,29,0,155,1982,1566,201,88,50
2961763437,0,0,624,451,0,0,0,44,186,585,260
2956884370,25,4,935,129,0,0,10,92,298,440,253
2954988988,44,1792,94,0,0,119,1024,586,106,50,45
2949150873,14,22,187,314,553,0,0,45,270,573,202
2946215645,54,1823,2899,20,0,684,2826,1065,162,59,0
2931498218,13,16,447,183,439,0,16,62,328,512,180
2928920339,14,251,234,521,81,0,0,99,327,478,197
2924872773,89,1153,247,0,0,313,895,206,56,19,0
2920069069,100,1166,241,0,0,295,953,193,48,18,0
2916469944,72,1400,2769,185,0,349,2669,1099,253,56,0
2916423121,0,36,83,548,451,0,18,89,445,402,164
2907026370,34,1784,585,4,0,747,1221,344,74,21,0
2903714412,87,2328,50,0,0,646,1545,196,58,20,0
2901383662,21,324,28,916,587,0,211,671,544,301,149
2887542635,75,2057,268,0,0,847,1252,217,52,31,1
2879655685,13,397,66,174,1176,0,0,289,868,579,90
2871266969,87,2011,256,0,0,600,1460,208,57,29,0
2854794955,64,1701,3041,66,0,476,3307,875,142,55,17
2851511242,65,1093,3095,166,0,317,2666,1098,268,64,6
2848681653,17,1036,36,0,0,0,0,38,278,588,185
2844947889,80,1895,123,0,0,758,1080,200,58,2,0
