average_cadence,average_hr,average_speed,chip_time,distance,elevation_gain,event_type,id,kudos,location,max_hr,max_speed,position,run_type,suffer_score,time,timestamp
0,0,16.4844,1092,5,0,PR,1807281354,1,Hertford,0,0,2,S,0,1092,25/08/2018 01:00
0,169.9,15.6204,1127,4.9033,58,W,1817344422,5,Hertford,178,25.2,0,S,55,1127,03/09/2018 20:14
0,0,16.7436,1075,5,0,R,1821995859,10,Hatfield,0,0,32,S,0,1075,05/09/2018 19:45
0,0,16.3476,1101,5,0,PR,1826965116,6,Hertford,0,0,2,S,0,1101,08/09/2018 09:00
0,167.9,14.5368,1998,8.093,97,W,1830984968,6,Welwyn Garden City,190,21.96,0,M,85,1998,09/09/2018 19:49
0,0,15.4836,1137,4.8597,73.4,W,1832956022,6,Welwyn Garden City,0,21.6,0,S,0,1137,10/09/2018 20:30
0,0,16.4844,1092,5,0,PR,1842987085,6,Hertford,0,0,3,S,0,1092,15/09/2018 09:00
0,0,14.1192,2550,10,0,W,1847294196,5,Welwyn Garden City,0,0,0,M,0,2550,17/09/2018 09:24
0,0,16.4232,1096,5,0,R,1853006370,9,Hatfield,0,0,35,S,0,1096,19/09/2018 19:45
0,0,14.2812,2803,10.1209,126.2,W,1854532368,7,Hertford,0,20.16,0,M,0,2803,20/09/2018 16:38
0,0,16.38,1099,5,0,PR,1857902033,7,Hertford,0,0,2,S,0,1099,22/09/2018 09:00
0,0,13.7304,2622,10,0,W,1862331364,6,Welwyn Garden City,0,0,0,M,0,2622,24/09/2018 09:20
0,0,15.8148,1123,4.9337,52.7,W,1867104614,6,Hertford,0,22.32,0,S,0,1123,26/09/2018 16:46
0,0,16.5888,1085,5,0,PR,1872555370,12,Hertford,0,0,1,S,0,1085,29/09/2018 09:00
0,0,13.7988,4191,16.0485,205.2,W,1876028417,10,Welwyn Garden City,0,27.36,0,L,0,4191,30/09/2018 16:43
0,0,14.2956,2520,10.0071,126.5,W,1877798851,10,Hertford,0,20.88,0,M,0,2520,01/10/2018 17:04
0,0,16.758,1074,5,0,R,1882361101,10,Hatfield,0,0,28,S,0,1074,03/10/2018 19:45
0,0,16.6968,1078,5,0,PR,1887241249,9,Hatfield,0,0,3,S,0,1078,06/10/2018 09:00
0,0,14.2848,2514,9.9516,130.9,W,1891574278,8,Welwyn Garden City,0,29.52,0,M,0,2514,08/10/2018 09:26
0,0,14.3532,1933,7.706,87.2,W,1896871823,7,Welwyn Garden City,0,20.16,0,S,0,1933,10/10/2018 20:11
0,0,16.4844,1092,5,0,PR,1901741659,8,Hatfield,0,0,1,S,0,1092,13/10/2018 09:00
0,0,15.5376,2317,10,0,R,1904482788,9,Harpenden,0,0,12,M,0,2317,14/10/2018 10:00
0,0,15.9696,1139,5.0172,53.3,W,1910670406,9,Hertford,0,21.6,0,S,0,1139,17/10/2018 17:15
0,0,14.8824,2413,9.9513,121.3,W,1915631994,12,Welwyn Garden City,0,22.32,0,M,0,2413,20/10/2018 09:10
0,0,14.5224,2481,10.0094,70.6,W,1920356845,7,Hertford,0,19.8,0,M,0,2481,22/10/2018 10:15
0,0,16.7436,1075,5,0,PR,1929767235,10,Hatfield,0,0,3,S,0,1075,27/10/2018 09:00
0,0,16.074,1802,8.0467,0,R,1932824805,10,Waltham Cross,0,0,48,M,0,1802,28/10/2018 11:00
0,0,16.7904,1072,5,0,PR,1942935742,13,Hatfield,0,0,4,S,0,1072,03/11/2018 09:00
0,0,14.6808,2452,10,0,R,1945373292,13,London,0,0,6,M,0,2452,04/11/2018 09:30
0,0,14.0724,4013,15.6852,103.3,W,1947565210,10,Hertford,0,19.8,0,M,0,4013,05/11/2018 14:23
0,0,16.8552,1068,5,0,PR,1956322981,12,Hatfield,0,0,5,S,0,1068,10/11/2018 09:00
0,0,12.8844,5688,20.0394,231.8,W,1958284547,6,Welwyn Garden City,0,37.8,0,L,0,5688,11/11/2018 09:46
0,155.4,15.8292,1118,4.9164,12.4,W,1969249469,9,Hatfield,160,21.6,0,S,32,1118,17/11/2018 10:09
0,0,14.8572,5113,21.1,0,R,1971573913,11,Knebworth,0,0,23,L,0,5113,18/11/2018 09:30
