,activity_id,zone_type,zone_index,time
0,2035993054,heartrate,1,59
1,2035993054,heartrate,2,153
2,2035993054,heartrate,3,808
3,2035993054,heartrate,4,784
4,2035993054,heartrate,5,38
72,2035993054,pace,1,264
73,2035993054,pace,2,100
74,2035993054,pace,3,100
75,2035993054,pace,4,219
76,2035993054,pace,5,316
77,2035993054,pace,6,609
5,2038868398,heartrate,1,90
6,2038868398,heartrate,2,340
7,2038868398,heartrate,3,1490
8,2038868398,heartrate,4,532
9,2038868398,heartrate,5,0
83,2038868398,pace,1,20
84,2038868398,pace,2,1348
85,2038868398,pace,3,975
86,2038868398,pace,4,91
87,2038868398,pace,5,20
88,2038868398,pace,6,0
10,2041484077,heartrate,1,55
11,2041484077,heartrate,2,37
12,2041484077,heartrate,3,152
13,2041484077,heartrate,4,570
14,2041484077,heartrate,5,249
94,2041484077,pace,1,0
95,2041484077,pace,2,0
96,2041484077,pace,3,0
97,2041484077,pace,4,335
98,2041484077,pace,5,550
99,2041484077,pace,6,181
15,2045210201,heartrate,1,480
16,2045210201,heartrate,2,177
17,2045210201,heartrate,3,461
18,2045210201,heartrate,4,766
19,2045210201,heartrate,5,6
105,2045210201,pace,1,595
106,2045210201,pace,2,78
107,2045210201,pace,3,33
108,2045210201,pace,4,543
109,2045210201,pace,5,373
110,2045210201,pace,6,120
20,2051319403,heartrate,1,345
21,2051319403,heartrate,2,1647
22,2051319403,heartrate,3,1580
23,2051319403,heartrate,4,322
24,2051319403,heartrate,5,0
116,2051319403,pace,1,456
117,2051319403,pace,2,2131
118,2051319403,pace,3,1249
119,2051319403,pace,4,60
120,2051319403,pace,5,0
121,2051319403,pace,6,0
25,2053392135,heartrate,1,324
26,2053392135,heartrate,2,385
27,2053392135,heartrate,3,941
28,2053392135,heartrate,4,453
29,2053392135,heartrate,5,0
127,2053392135,pace,1,547
128,2053392135,pace,2,164
129,2053392135,pace,3,174
130,2053392135,pace,4,775
131,2053392135,pace,5,439
132,2053392135,pace,6,6
30,2056545343,heartrate,1,49
31,2056545343,heartrate,2,38
32,2056545343,heartrate,3,239
33,2056545343,heartrate,4,735
34,2056545343,heartrate,5,10
138,2056545343,pace,1,0
139,2056545343,pace,2,0
140,2056545343,pace,3,0
141,2056545343,pace,4,355
142,2056545343,pace,5,523
143,2056545343,pace,6,196
35,2059084656,heartrate,1,522
36,2059084656,heartrate,2,3413
37,2059084656,heartrate,3,1308
38,2059084656,heartrate,4,45
39,2059084656,heartrate,5,0
149,2059084656,pace,1,2224
150,2059084656,pace,2,2908
151,2059084656,pace,3,69
152,2059084656,pace,4,1
153,2059084656,pace,5,0
154,2059084656,pace,6,54
40,2065105318,heartrate,1,48
41,2065105318,heartrate,2,97
42,2065105318,heartrate,3,1011
43,2065105318,heartrate,4,844
44,2065105318,heartrate,5,0
160,2065105318,pace,1,557
161,2065105318,pace,2,96
162,2065105318,pace,3,123
163,2065105318,pace,4,231
164,2065105318,pace,5,530
165,2065105318,pace,6,465
45,2067316718,heartrate,1,247
46,2067316718,heartrate,2,1535
47,2067316718,heartrate,3,1940
48,2067316718,heartrate,4,157
49,2067316718,heartrate,5,0
171,2067316718,pace,1,259
172,2067316718,pace,2,2543
173,2067316718,pace,3,1012
174,2067316718,pace,4,59
175,2067316718,pace,5,8
176,2067316718,pace,6,0
50,2069646811,heartrate,1,119
51,2069646811,heartrate,2,606
52,2069646811,heartrate,3,557
53,2069646811,heartrate,4,789
54,2069646811,heartrate,5,0
182,2069646811,pace,1,589
183,2069646811,pace,2,129
184,2069646811,pace,3,92
185,2069646811,pace,4,539
186,2069646811,pace,5,625
187,2069646811,pace,6,97
55,2072553836,heartrate,1,58
56,2072553836,heartrate,2,7
57,2072553836,heartrate,3,62
58,2072553836,heartrate,4,735
59,2072553836,heartrate,5,215
193,2072553836,pace,1,0
194,2072553836,pace,2,0
195,2072553836,pace,3,79
196,2072553836,pace,4,391
197,2072553836,pace,5,419
198,2072553836,pace,6,191
60,2075332277,heartrate,1,75
61,2075332277,heartrate,2,35
62,2075332277,heartrate,3,240
63,2075332277,heartrate,4,1613
64,2075332277,heartrate,5,396
204,2075332277,pace,1,0
205,2075332277,pace,2,114
206,2075332277,pace,3,741
207,2075332277,pace,4,917
208,2075332277,pace,5,294
209,2075332277,pace,6,248
65,2081062871,heartrate,1,99
66,2081062871,heartrate,2,388
67,2081062871,heartrate,3,601
68,2081062871,heartrate,4,921
69,2081062871,heartrate,5,7
215,2081062871,pace,1,525
216,2081062871,pace,2,126
217,2081062871,pace,3,113
218,2081062871,pace,4,262
219,2081062871,pace,5,560
220,2081062871,pace,6,428
70,2083529066,heartrate,1,193
71,2083529066,heartrate,2,1847
72,2083529066,heartrate,3,1545
